All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO10,,,GPIO10,EPWM6A,CANB_RX,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,,GPIO10,MCAN_RX,ESC_GPO2,,GPIO10,FSIRXB_D1,FSITXA_CLK,FSIRXA_D1
2,GPIO11,,,GPIO11,EPWM6B,SCIB_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,,GPIO11,,ESC_GPO3,,GPIO11,FSIRXB_CLK,FSIRXA_D1,
3,VDDIO,VDDIO
,VDDIO
4,GPIO12,,,GPIO12,EPWM7A,CANB_TX,MDXB,GPIO12,EQEP1_STROBE,SCIC_TX,,GPIO12,,ESC_GPO4,,GPIO12,FSIRXC_D0,FSIRXA_D0,
5,GPIO13,,,GPIO13,EPWM7B,CANB_RX,MDRB,GPIO13,EQEP1_INDEX,SCIC_RX,,GPIO13,,ESC_GPO5,,GPIO13,FSIRXC_D1,FSIRXA_CLK,
6,GPIO14,,,GPIO14,EPWM8A,SCIB_TX,MCLKXB,GPIO14,,OUTPUTXBAR3,,GPIO14,,ESC_GPO6,,GPIO14,FSIRXC_CLK,,
7,GPIO15,,,GPIO15,EPWM8B,SCIB_RX,MFSXB,GPIO15,,OUTPUTXBAR4,,GPIO15,,ESC_GPO7,,GPIO15,FSIRXD_D0,,
8,GPIO16,GPIO16,XINT1,GPIO16,SPIA_SIMO,CANB_TX,OUTPUTXBAR7,GPIO16,EPWM9A,,SD1_D1,GPIO16,,,SSIA_TX,GPIO16,FSIRXD_D1,,
9,GPIO17,GPIO17,XINT2,GPIO17,SPIA_SOMI,CANB_RX,OUTPUTXBAR8,GPIO17,EPWM9B,,SD1_C1,GPIO17,,,SSIA_RX,GPIO17,FSIRXD_CLK,,
10,GPIO18,GPIO18,XINT3,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM10A,,SD1_D2,GPIO18,MCAN_RX,EMIF1_CS2n,SSIA_CLK,GPIO18,FSIRXE_D0,,
11,VDDIO,VDDIO
,VDDIO
12,GPIO19,GPIO19,XINT4,GPIO19,SPIA_STEn,SCIB_RX,CANA_TX,GPIO19,EPWM10B,,SD1_C2,GPIO19,MCAN_TX,EMIF1_CS3n,SSIA_FSS,GPIO19,FSIRXE_D1,,
13,GPIO20,EQEP1_A,myEQEP0,GPIO20,EQEP1_A,MDXA,CANB_TX,GPIO20,EPWM11A,,SD1_D3,GPIO20,,EMIF1_BA0,,GPIO20,FSIRXE_CLK,SPIC_SIMO,
